Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Team_PTS,Team_AST,Tean_TRB,Team_TOV,Team_STL
40,Saddiq Bey,SF,24,ATL,21,9,629,99,201,0.493,40,100,0.4,59,101,0.584,0.592,34,42,0.81,46,80,126,25,22,3,25,33,272,beysa01,2567,527,944,299,185
46,Bogdan Bogdanovi?,SG,31,ATL,21,2,571,123,272,0.452,65,169,0.385,58,103,0.563,0.572,28,30,0.933,8,64,72,47,29,7,27,53,339,bogdabo01,2567,527,944,299,185
70,Kobe Bufkin,SG,20,ATL,2,0,4,0,3,0,0,1,0,0,2,0,0,1,2,0.5,1,1,2,0,0,0,0,0,1,bufkiko01,2567,527,944,299,185
78,Clint Capela,C,29,ATL,21,21,524,97,171,0.567,0,0,,97,171,0.567,0.567,32,52,0.615,101,119,220,23,14,35,19,53,226,capelca01,2567,527,944,299,185
127,Bruno Fernando,C,25,ATL,5,0,16,3,9,0.333,0,1,0,3,8,0.375,0.333,1,1,1,3,1,4,0,0,0,4,3,7,fernabr01,2567,527,944,299,185
132,Trent Forrest,SG,25,ATL,5,0,43,3,9,0.333,0,0,,3,9,0.333,0.333,4,4,1,2,0,2,8,0,0,2,4,10,forretr01,2567,527,944,299,185
162,AJ Griffin,SF,20,ATL,11,0,101,10,33,0.303,8,24,0.333,2,9,0.222,0.424,2,2,1,2,8,10,3,1,0,4,5,30,griffaj01,2567,527,944,299,185
164,Mouhamed Gueye,PF,21,ATL,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,1,0,0,1,0,gueyemo02,2567,527,944,299,185
203,De'Andre Hunter,SF,26,ATL,21,21,643,105,233,0.451,38,102,0.373,67,131,0.511,0.532,62,69,0.899,14,75,89,28,18,7,33,65,310,huntede01,2567,527,944,299,185
222,Jalen Johnson,SF,22,ATL,15,12,449,85,143,0.594,17,40,0.425,68,103,0.66,0.654,25,33,0.758,20,89,109,36,17,15,30,33,212,johnsja05,2567,527,944,299,185
278,Garrison Mathews,SG,27,ATL,9,0,57,4,12,0.333,4,12,0.333,0,0,,0.5,0,0,,2,7,9,1,2,0,2,7,12,mathega01,2567,527,944,299,185
280,Wesley Matthews,SG,37,ATL,11,0,116,6,21,0.286,5,18,0.278,1,3,0.333,0.405,11,15,0.733,2,9,11,7,4,1,2,14,28,matthwe02,2567,527,944,299,185
301,Patty Mills,PG,35,ATL,2,0,22,2,6,0.333,2,4,0.5,0,2,0,0.5,0,0,,0,2,2,2,1,1,1,2,6,millspa02,2567,527,944,299,185
315,Dejounte Murray,SG,27,ATL,21,21,717,159,352,0.452,47,122,0.385,112,230,0.487,0.518,55,63,0.873,14,78,92,115,36,5,49,30,420,murrade01,2567,527,944,299,185
334,Onyeka Okongwu,C,23,ATL,21,0,484,65,119,0.546,5,25,0.2,60,94,0.638,0.567,42,50,0.84,54,89,143,31,11,17,16,61,177,okongon01,2567,527,944,299,185
491,Trae Young,PG,25,ATL,19,19,686,157,381,0.412,58,165,0.352,99,216,0.458,0.488,145,167,0.868,13,40,53,201,29,2,73,29,517,youngtr01,2567,527,944,299,185
25,Dalano Banton,PG,24,BOS,11,1,91,13,27,0.481,1,7,0.143,12,20,0.6,0.5,5,6,0.833,10,15,25,5,2,2,5,12,32,bantoda01,2463,523,984,291,138
58,Oshae Brissett,SF,25,BOS,9,0,90,3,17,0.176,1,9,0.111,2,8,0.25,0.206,7,12,0.583,8,13,21,3,4,0,2,9,14,brissos01,2463,523,984,291,138
64,Jaylen Brown,SF,27,BOS,20,20,679,170,368,0.462,47,138,0.341,123,230,0.535,0.526,52,74,0.703,12,86,98,65,24,14,49,61,439,brownja02,2463,523,984,291,138
178,Sam Hauser,SF,26,BOS,21,2,479,68,148,0.459,57,131,0.435,11,17,0.647,0.652,8,10,0.8,19,56,75,18,10,8,12,32,201,hausesa01,2463,523,984,291,138
191,Jrue Holiday,PG,33,BOS,19,19,660,90,208,0.433,32,86,0.372,58,122,0.475,0.51,24,29,0.828,32,103,135,96,14,17,40,31,236,holidjr01,2463,523,984,291,138
196,Al Horford,C,37,BOS,19,8,505,56,114,0.491,26,71,0.366,30,43,0.698,0.605,8,8,1,31,98,129,53,9,19,20,34,146,horfoal01,2463,523,984,291,138
243,Luke Kornet,C,28,BOS,16,0,211,31,40,0.775,0,0,,31,40,0.775,0.775,8,10,0.8,22,30,52,10,8,13,6,19,70,kornelu01,2463,523,984,291,138
320,Svi Mykhailiuk,SF,26,BOS,8,0,59,6,17,0.353,4,14,0.286,2,3,0.667,0.471,0,0,,1,4,5,1,3,0,4,4,16,mykhasv01,2463,523,984,291,138
355,Kristaps Porzi??is,C,28,BOS,16,16,483,105,192,0.547,27,80,0.338,78,112,0.696,0.617,68,84,0.81,23,80,103,29,12,25,21,53,305,porzikr01,2463,523,984,291,138
359,Payton Pritchard,PG,26,BOS,21,0,429,47,124,0.379,25,79,0.316,22,45,0.489,0.48,10,13,0.769,20,46,66,60,7,0,11,22,129,pritcpa01,2463,523,984,291,138
361,Neemias Queta,C,24,BOS,3,0,31,4,10,0.4,0,0,,4,10,0.4,0.4,4,5,0.8,8,9,17,0,1,0,2,2,12,quetane01,2463,523,984,291,138
416,Lamar Stevens,PF,26,BOS,6,0,20,4,7,0.571,1,1,1,3,6,0.5,0.643,0,0,,4,2,6,2,1,1,3,4,9,stevela01,2463,523,984,291,138
423,Jayson Tatum,PF,25,BOS,21,21,770,202,407,0.496,64,180,0.356,138,227,0.608,0.575,109,138,0.79,14,169,183,88,23,7,67,47,577,tatumja01,2463,523,984,291,138
469,Derrick White,SG,29,BOS,18,18,583,89,186,0.478,43,105,0.41,46,81,0.568,0.594,56,64,0.875,13,56,69,93,20,16,33,44,277,whitede01,2463,523,984,291,138
56,Mikal Bridges,SF,27,BRK,21,21,731,178,361,0.493,45,119,0.378,133,242,0.55,0.555,86,100,0.86,23,104,127,83,21,12,51,36,487,bridgmi01,2455,546,1015,279,129
60,Armoni Brooks,PG,25,BRK,5,0,45,6,17,0.353,5,13,0.385,1,4,0.25,0.5,0,0,,2,8,10,0,0,0,1,1,17,brookar01,2455,546,1015,279,129
88,Nic Claxton,C,24,BRK,12,12,326,64,97,0.66,0,0,,64,97,0.66,0.66,16,28,0.571,41,71,112,19,7,29,9,29,144,claxtni01,2455,546,1015,279,129
89,Noah Clowney,PF,19,BRK,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,clownno01,2455,546,1015,279,129
110,Spencer Dinwiddie,PG,30,BRK,20,20,627,94,237,0.397,44,130,0.338,50,107,0.467,0.489,60,75,0.8,10,67,77,126,16,3,34,32,292,dinwisp01,2455,546,1015,279,129
128,Dorian Finney-Smith,PF,30,BRK,20,17,622,82,174,0.471,53,118,0.449,29,56,0.518,0.624,4,6,0.667,41,66,107,26,11,13,18,45,221,finnedo01,2455,546,1015,279,129
145,Harry Giles,C,25,BRK,3,0,17,9,12,0.75,1,3,0.333,8,9,0.889,0.792,1,3,0.333,2,2,4,0,0,1,1,2,20,gilesha01,2455,546,1015,279,129
221,Cameron Johnson,PF,27,BRK,14,14,406,76,166,0.458,33,88,0.375,43,78,0.551,0.557,20,24,0.833,27,55,82,38,11,1,18,26,205,johnsca02,2455,546,1015,279,129
300,Dariq Whitehead,SF,19,BRK,1,0,3,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,0,0,1,0,0,1,whiteda01,2455,546,1015,279,129
331,Royce O'Neale,SF,30,BRK,20,5,581,56,147,0.381,49,124,0.395,7,23,0.304,0.548,5,10,0.5,15,94,109,69,16,17,18,59,166,onealro01,2455,546,1015,279,129
399,Day'Ron Sharpe,C,22,BRK,21,0,337,59,104,0.567,0,4,0,59,100,0.59,0.567,29,47,0.617,52,91,143,19,8,16,24,48,147,sharpda01,2455,546,1015,279,129
403,Ben Simmons,PG,27,BRK,6,6,191,19,36,0.528,0,0,,19,36,0.528,0.528,1,4,0.25,16,49,65,40,3,5,15,16,39,simmobe01,2455,546,1015,279,129
408,Dennis Smith Jr.,PG,26,BRK,13,0,229,34,80,0.425,7,22,0.318,27,58,0.466,0.469,12,14,0.857,11,28,39,45,11,3,12,28,87,smithde03,2455,546,1015,279,129
428,Cam Thomas,SG,22,BRK,12,10,378,107,238,0.45,25,73,0.342,82,165,0.497,0.502,45,54,0.833,2,40,42,28,8,7,20,24,284,thomaca02,2455,546,1015,279,129
457,Lonnie Walker IV,SG,25,BRK,17,0,362,88,180,0.489,44,95,0.463,44,85,0.518,0.611,29,38,0.763,3,42,45,28,10,7,25,16,249,walkelo01,2455,546,1015,279,129
463,Trendon Watford,PF,23,BRK,14,0,203,39,75,0.52,5,14,0.357,34,61,0.557,0.553,13,14,0.929,16,35,51,25,7,3,16,30,96,watfotr01,2455,546,1015,279,129
485,Jalen Wilson,PF,23,BRK,2,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,0,wilsoja03,2455,546,1015,279,129
42,Onuralp Bitim,SG,24,CHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,bitimon01,2493,531,979,283,193
79,Jevon Carter,PG,28,CHI,23,0,325,46,119,0.387,26,73,0.356,20,46,0.435,0.496,0,1,0,2,10,12,29,12,6,15,26,118,carteje01,2493,531,979,283,193
81,Alex Caruso,SG,29,CHI,20,9,470,67,125,0.536,32,69,0.464,35,56,0.625,0.664,24,31,0.774,25,43,68,46,26,16,27,45,190,carusal01,2493,531,979,283,193
97,Torrey Craig,SF,33,CHI,23,7,488,49,112,0.438,24,61,0.393,25,51,0.49,0.545,13,15,0.867,44,71,115,26,15,9,14,55,135,craigto01,2493,531,979,283,193
106,DeMar DeRozan,SF,34,CHI,21,21,748,160,362,0.442,19,53,0.358,141,309,0.456,0.468,118,147,0.803,18,57,75,106,21,16,27,43,457,derozde01,2493,531,979,283,193
114,Ayo Dosunmu,SG,24,CHI,21,1,382,52,106,0.491,17,48,0.354,35,58,0.603,0.571,14,18,0.778,9,27,36,37,15,2,17,33,135,dosunay01,2493,531,979,283,193
115,Andre Drummond,C,30,CHI,23,0,303,54,106,0.509,0,1,0,54,105,0.514,0.509,28,50,0.56,65,88,153,14,22,7,25,39,136,drumman01,2493,531,979,283,193
248,Zach LaVine,SG,28,CHI,18,18,635,132,298,0.443,43,128,0.336,89,170,0.524,0.515,71,82,0.866,6,82,88,61,17,4,36,37,378,lavinza01,2493,531,979,283,193
344,Julian Phillips,SF,20,CHI,12,0,59,5,16,0.313,0,7,0,5,9,0.556,0.313,1,4,0.25,2,7,9,5,1,0,1,8,11,phillju01,2493,531,979,283,193
424,Terry Taylor,PF,24,CHI,5,0,12,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,1,0,0,0,2,taylote01,2493,531,979,283,193
426,Dalen Terry,SG,21,CHI,7,0,26,3,9,0.333,1,4,0.25,2,5,0.4,0.389,0,2,0,2,8,10,4,0,1,1,2,7,terryda01,2493,531,979,283,193
450,Nikola Vu?evi?,C,33,CHI,23,23,790,157,348,0.451,20,79,0.253,137,269,0.509,0.48,35,41,0.854,68,169,237,73,19,16,40,63,369,vucevni01,2493,531,979,283,193
468,Coby White,PG,23,CHI,23,23,774,126,291,0.433,68,163,0.417,58,128,0.453,0.55,38,45,0.844,8,71,79,100,20,6,43,63,358,whiteco01,2493,531,979,283,193
480,Patrick Williams,PF,22,CHI,23,13,581,73,169,0.432,24,71,0.338,49,98,0.5,0.503,27,38,0.711,26,70,96,30,24,22,27,37,197,willipa01,2493,531,979,283,193
19,Amari Bailey,PG,19,CHO,1,0,3,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,0,2,0,0,0,0,0,2,baileam01,2268,516,866,283,141
21,LaMelo Ball,PG,22,CHO,15,15,501,132,298,0.443,52,134,0.388,80,164,0.488,0.53,54,63,0.857,23,59,82,123,21,4,59,52,370,ballla01,2268,516,866,283,141
45,Leaky Black,SF,24,CHO,4,0,17,2,5,0.4,1,2,0.5,1,3,0.333,0.5,0,0,,0,2,2,1,1,2,0,1,5,blackle01,2268,516,866,283,141
52,James Bouknight,SG,23,CHO,1,0,5,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,1,0,1,0,0,0,0,0,5,bouknja01,2268,516,866,283,141
57,Miles Bridges,SF,25,CHO,10,8,368,74,148,0.5,21,50,0.42,53,98,0.541,0.571,33,39,0.846,9,63,72,27,15,3,15,20,202,bridgmi02,2268,516,866,283,141
182,Gordon Hayward,SF,33,CHO,19,19,619,111,243,0.457,18,49,0.367,93,194,0.479,0.494,49,64,0.766,23,71,94,86,24,9,39,34,289,haywago01,2268,516,866,283,141
269,Théo Maledon,PG,22,CHO,13,1,200,19,66,0.288,5,30,0.167,14,36,0.389,0.326,11,12,0.917,4,19,23,28,7,0,15,18,54,maledth01,2268,516,866,283,141
